time (UTC),station_id,CallSign,AtmosphericPressure (millibars),WindDirection (degrees true),WindSpeed (knots),Gust (knots),WaveHeight (meters),WavePeriod (seconds),MeanWaveDirection (degrees_true),Hmax (meters),AirTemperature (degrees_C),DewPoint (degrees_C),SeaTemperature (degrees_C),salinity (dimensionless),RelativeHumidity (percent),SprTp (degrees),ThTp (degrees_true),Tp (seconds),QC_Flag
2025-12-27 20:00:00+00:00,M5,62094,1033.264,71.0,22.2,29.6,2.578,5.039,72.0,3.438,9.092,,11.525,25.0,73.828,32.695,67.5,6.328,0
2025-12-27 21:00:00+00:00,M5,62094,1033.435,76.0,20.606,28.69,2.422,5.039,73.0,3.438,9.092,,11.508,25.0,73.242,28.828,75.938,6.563,0
2025-12-27 22:00:00+00:00,M5,62094,1033.569,87.0,19.809,28.234,2.266,5.039,66.0,3.125,8.896,,11.501,25.0,72.754,36.563,61.875,5.859,0
2025-12-27 23:00:00+00:00,M5,62094,1033.728,85.0,19.013,27.096,2.188,5.039,70.0,3.594,8.896,,11.503,25.0,73.242,41.836,81.563,6.094,0
2025-12-28 00:00:00+00:00,M5,62094,1033.606,79.0,17.077,24.477,2.109,4.922,75.0,3.281,8.945,,11.517,,74.707,31.641,59.063,6.563,0
2025-12-28 01:00:00+00:00,M5,62094,1033.655,80.0,16.166,22.656,1.953,4.922,75.0,2.656,8.896,,11.517,,73.438,42.539,71.719,6.563,0
2025-12-28 02:00:00+00:00,M5,62094,1033.423,87.0,16.736,23.566,1.875,5.039,87.0,2.656,8.994,,11.517,25.0,76.563,35.508,75.938,6.563,0
2025-12-28 03:00:00+00:00,M5,62094,1033.057,84.0,16.622,21.859,2.109,5.039,87.0,3.281,8.945,,11.526,25.0,77.441,34.453,82.969,7.031,0
2025-12-28 04:00:00+00:00,M5,62094,1032.983,86.0,15.483,21.631,1.875,4.805,97.0,2.5,8.945,,11.519,25.0,78.516,40.43,95.625,6.68,0
2025-12-28 05:00:00+00:00,M5,62094,1032.593,83.0,15.369,19.809,2.031,5.039,93.0,2.969,9.043,,11.525,,77.344,27.422,95.625,6.914,0
2025-12-28 06:00:00+00:00,M5,62094,1032.422,88.0,15.256,20.265,2.109,4.922,96.0,3.594,8.994,,11.517,,74.707,28.477,101.25,6.563,0
2025-12-28 07:00:00+00:00,M5,62094,1032.666,88.0,14.686,20.948,2.031,4.922,100.0,2.969,8.799,,11.514,,73.73,22.5,112.5,6.914,0
2025-12-28 08:00:00+00:00,M5,62094,1032.935,85.0,14.573,19.809,1.797,4.805,100.0,2.5,8.75,,11.512,25.0,75.488,35.508,90.0,6.328,0
2025-12-28 09:00:00+00:00,M5,62094,1033.167,101.0,12.637,19.468,1.719,4.688,91.0,2.344,8.359,,11.503,31.96907,75.586,49.922,95.625,5.859,0
2025-12-28 10:00:00+00:00,M5,62094,1033.142,86.0,12.523,16.622,1.719,4.805,100.0,2.188,8.408,,11.495,25.0,76.563,47.461,98.438,5.977,0
2025-12-28 11:00:00+00:00,M5,62094,1033.179,92.0,12.068,17.077,1.797,4.805,93.0,2.344,7.92,,11.503,28.14308,79.004,50.273,64.688,5.391,0
2025-12-28 12:00:00+00:00,M5,62094,1032.703,92.0,12.751,18.671,1.563,4.805,103.0,2.031,7.92,,11.506,25.0,79.492,32.695,119.531,6.445,0
2025-12-28 13:00:00+00:00,M5,62094,1032.117,106.0,9.449,14.914,1.484,4.688,98.0,2.188,7.822,,11.519,25.0,78.613,55.898,81.563,5.391,0
2025-12-28 14:00:00+00:00,M5,62094,1031.689,104.0,7.742,11.271,1.484,4.805,105.0,2.344,8.018,,11.526,25.0,76.465,30.234,112.5,6.563,0
